side_hugging,slope_dB_per_oct,centroid,centroid_log,flatness
0.00,-12.04,1.0365,0.0252,0.000204
0.10,-12.51,1.0245,0.0181,0.000060
0.20,-11.56,1.0129,0.0087,0.000000
0.21,-12.13,1.0121,0.0080,0.000061
0.22,-12.50,1.0115,0.0074,0.000060
0.23,-12.35,1.0109,0.0068,0.000053
0.24,-12.40,1.0104,0.0063,0.000063
0.25,-12.03,1.0100,0.0059,0.000088
0.26,-12.42,1.0097,0.0055,0.000063
0.27,-12.24,1.0095,0.0052,0.000064
0.28,-13.35,1.0094,0.0050,0.000023
0.29,-12.48,1.0094,0.0049,0.000062
0.30,-12.07,1.0095,0.0049,0.000075
0.31,-12.15,1.0097,0.0049,0.000065
0.32,-11.73,1.0100,0.0050,0.000071
0.33,-10.46,1.0104,0.0053,0.000049
0.34,-10.70,1.0110,0.0056,0.000072
0.35,-12.15,1.0116,0.0060,0.000069
0.36,-13.01,1.0124,0.0065,0.000030
0.37,-11.98,1.0133,0.0072,0.000082
0.38,-12.26,1.0143,0.0079,0.000077
0.39,-12.33,1.0154,0.0087,0.000080
0.40,-12.11,1.0166,0.0096,0.000104
0.50,-12.04,1.0365,0.0252,0.000204
0.60,-11.46,1.0731,0.0538,0.000001
0.70,-12.08,1.1345,0.0989,0.000271
0.80,-11.87,1.2399,0.1668,0.000646
0.90,-11.40,1.4528,0.2714,0.002089
1.00,-6.02,2.1175,0.4350,0.058740
